PercentegeCountThreshold-IPSrc-IPDst,ThresholdPercentegeMaliciousFlowsPerIPDst,ThresholdCounterMaliciousFlowsPerIPDst,FP,FN,TP,TN,FalsePositiveRate,TruePositiveRate,F1Score,Accuracy
Percentege:75-Counter:25,75,25,0,669,5,227,0.0,0.00741839762611276,0.014727540500736377,0.25749167591564925
Percentege:0-Counter:25,0,25,0,669,5,227,0.0,0.00741839762611276,0.014727540500736377,0.25749167591564925
Percentege:25-Counter:25,25,25,0,669,5,227,0.0,0.00741839762611276,0.014727540500736377,0.25749167591564925
Percentege:75-Counter:0,75,0,0,3,671,227,0.0,0.9955489614243324,0.9977695167286246,0.9966703662597114
Percentege:75-Counter:1,75,1,0,619,55,227,0.0,0.08160237388724036,0.15089163237311384,0.3129855715871254
Percentege:75-Counter:5,75,5,0,662,12,227,0.0,0.017804154302670624,0.03498542274052478,0.26526082130965595
Percentege:50-Counter:10,50,10,0,666,8,227,0.0,0.011869436201780416,0.02346041055718475,0.26082130965593786
Percentege:50-Counter:50,50,50,0,669,5,227,0.0,0.00741839762611276,0.014727540500736377,0.25749167591564925
Percentege:25-Counter:10,25,10,0,666,8,227,0.0,0.011869436201780416,0.02346041055718475,0.26082130965593786
Percentege:25-Counter:50,25,50,0,669,5,227,0.0,0.00741839762611276,0.014727540500736377,0.25749167591564925
Percentege:0-Counter:10,0,10,0,666,8,227,0.0,0.011869436201780416,0.02346041055718475,0.26082130965593786
Percentege:75-Counter:50,75,50,0,669,5,227,0.0,0.00741839762611276,0.014727540500736377,0.25749167591564925
Percentege:50-Counter:25,50,25,0,669,5,227,0.0,0.00741839762611276,0.014727540500736377,0.25749167591564925
Percentege:0-Counter:1,0,1,0,619,55,227,0.0,0.08160237388724036,0.15089163237311384,0.3129855715871254
Percentege:0-Counter:0,0,0,0,2,672,227,0.0,0.9970326409495549,0.9985141158989599,0.9977802441731409
Percentege:75-Counter:10,75,10,0,666,8,227,0.0,0.011869436201780416,0.02346041055718475,0.26082130965593786
Percentege:0-Counter:5,0,5,0,662,12,227,0.0,0.017804154302670624,0.03498542274052478,0.26526082130965595
Percentege:50-Counter:1,50,1,0,619,55,227,0.0,0.08160237388724036,0.15089163237311384,0.3129855715871254
Percentege:50-Counter:0,50,0,0,3,671,227,0.0,0.9955489614243324,0.9977695167286246,0.9966703662597114
Percentege:50-Counter:5,50,5,0,662,12,227,0.0,0.017804154302670624,0.03498542274052478,0.26526082130965595
Percentege:25-Counter:1,25,1,0,619,55,227,0.0,0.08160237388724036,0.15089163237311384,0.3129855715871254
Percentege:25-Counter:0,25,0,0,2,672,227,0.0,0.9970326409495549,0.9985141158989599,0.9977802441731409
Percentege:25-Counter:5,25,5,0,662,12,227,0.0,0.017804154302670624,0.03498542274052478,0.26526082130965595
Percentege:0-Counter:50,0,50,0,669,5,227,0.0,0.00741839762611276,0.014727540500736377,0.25749167591564925
